排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,醉小酒馆,江湖菜/川菜,重庆大学城（熙街附近）,60,4.7,嘶嘶耙鸡脚、酱香排骨猪手、小炒黄牛肉,5,下饭、无踩雷、辣得过瘾,未知
2,幸福豆花（恒大未来城店）,家常菜/豆花饭,重庆大学城恒大未来城,25,4.6,炒菜系列（未具体命名）、豆花饭,5,有锅气、便宜好吃、非预制菜,外卖不如堂食
3,卓格饭店,川菜/家常菜,重庆大学城西一门对面,35,4.5,蒜泥白肉、干锅鸡、豌豆颠,4,量大味好、下饭、夫妻店现炒,口味不稳定、部分人觉咸或油重
4,无届青年,新式融合中餐,重庆大学城学堂府（近九组团）,45,4.4,黑松露披萨、奶油意面、金沙牛肉,8,菜品新奇、适合聚餐、饮品好喝,肉质差（槽头肉/骚味）、部分菜怪味
5,湘厨,湘菜,重庆大学城高新天街,50,4.4,小炒肉、炒甜瓜、小炒鸡,3,无踩雷、地道湖南味、多次复购,配送费高（外卖）
6,啫啫煲,粤式干蒸/煲仔饭,重庆大学城U城天街（电影院旁）,40,4.3,干蒸牛舌、干蒸鸡、砂锅煲仔饭,2,干蒸类比外卖好吃、送砂锅,外卖体验一般
7,财虎渣渣牛肉,火锅/牛肉汤锅,重庆大学城,55,4.3,渣渣牛肉、奶香汤底、素菜拼盘,2,肉质好、汤底奶香、拌饭满足,未知
8,冯四孃跷脚牛肉（熙街店）,跷脚牛肉/川南小吃,重庆大学城熙街,25,4.2,毛血旺、跷脚牛肉汤、冒白菜,4,汤好喝、下饭、东北人也爱,滑肉粉重、肉有粉感
9,有味涮羊肉,涮羊肉/北方菜,重庆大学城,60,4.2,牛肉蛋炒饭,2,蛋炒饭香、肉质不错,未知
10,戏作寿司,日料/寿司,重庆大学城熙街（全季酒店楼下）,20,4.2,鳗鱼一口饭、照烧鸡扒饭、咖喱牛肉饭,5,肉量足、一人食友好、服务好,部分人认为配菜像预制
11,壹口食堂,日式定食,重庆大学城,30,4.1,鳗鱼饭套餐、咖喱猪扒饭,2,炸猪排嫩、酱汁足,鳗鱼饭偏咸
12,osolemio,意大利菜,重庆大学城学堂府（近九组团）,60,4.1,黑松露披萨、奶油意面,2,味道稳定、搬迁后仍好吃,未知
13,程源记,粤式茶点,重庆大学城,40,4.0,烧鸭、叉烧（猪颈肉）、炒河粉,1,叉烧特别好吃、烧鸭不错,未知
14,盒马（大学城仓店半成品）,半成品/预制菜,重庆大学城,30,4.0,猪肚鸡、蒜香烤鱼、小凉菜,2,性价比高、味道超预期,非堂食、属预制类
15,瑞记江湖菜,江湖菜,重庆大学城,45,4.0,未知（整体推荐）,3,好吃、被多人提及,未知
16,乡村岁月,家常菜,重庆大学城（虫师东门/富力广场旧址）,35,3.9,回锅肉、家常小炒,4,非预制菜、有锅气,厨师水平不稳定、部分菜油腻
17,蓝豆花川菜馆（大学城店）,川菜/江湖菜,重庆大学城熙街,55,3.5,水煮肉片、泡椒系列、粉蒸排骨,12,适合宴请、上菜快、环境好,味道偏咸、菜在佐料里找、性价比低、部分人觉无锅气
18,蓝豆花（陈家桥店）,川菜,重庆陈家桥,50,4.0,未知（整体优于大学城店）,3,比大学城店好吃,未知
19,川上丼屋,日式丼饭,重庆大学城川美南门,25,3.8,日式牛肉丼、烧鸟饭、地狱梅花肉饭,6,酱香浓郁、配送快、性价比高,部分人遇淋巴肉、鳗鱼腥、咖喱偏咸
20,潮妈手工面庄,家常菜/面馆,重庆大学城川美南门,20,4.3,尖椒鸡拌刀削面、白菜回锅肉,3,现炒、少蒜、超下饭,未知
21,黔江古镇鸡杂（川美店）,家常菜/鸡杂,重庆大学城川美南门二楼,25,4.2,糖醋里脊、孜然土豆片、酸萝卜老鸭汤,3,现炒、便宜、下课食堂,环境简陋
22,干沟湾公社食堂（U城总店）,川菜/江湖菜,重庆大学城U城天街（麦当劳对面）,40,3.7,油渣莲白、毛血旺、干锅肥肠,2,份量大、环境尚可、适合团建,滑肉粉多、部分菜一般
23,成都川菜馆,川菜,重庆大学城富力城（公园对面）,40,4.1,干煸肉丝、双椒碎牛肉,4,物美价廉、卫生干净,高德难搜到
24,阿嫂印象,家常菜,重庆大学城,35,3.6,未知（整体评价两极）,4,曾被认为好吃,被多人评“预制菜”“不好吃”“不如从前”
25,德香苑脆皮烤鸭（龙湖U城店）,北京烤鸭,重庆大学城龙湖U城,30,3.9,片皮烤鸭、孜然鸭架,3,分量足、皮香,鸭肉偶有腥味、非顶级
26,京顺斋北京烤鸭,北京烤鸭,重庆大学城（富力城/线上）,28,3.5,片皮烤鸭半只套餐,3,份量大、价格实惠,初期腥味重、鸭架处理简单
27,龚胖胖正宗猪脚饭,快餐/猪脚饭,重庆大学城龙湖U城,22,4.2,肥肉猪脚饭+辣椒酱,2,肉多入味、老板熟识回头客,仅限线下更佳
28,山南料理,日料,重庆大学城（龙湖附近）,70,4.3,鳗鱼饭、炙烤三文鱼寿司,2,鳗鱼新鲜、活鳗现杀,上菜慢、起送费高
29,菊一,日料,重庆微电园/大学城,80,4.4,鳗鱼饭、唐扬鸡块、脆脆海苔寿司,3,活鳗现杀、无腥味、食材新鲜,价格较高
30,桃太郎,日料（连锁）,重庆大学城熙街（川美东门）,35,3.8,肥牛烧丼饭、日式冷豆腐、温泉蛋牛丼,5,环境好、适合打卡、新品快,上菜慢、部分菜品普通
