排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
2,戏作寿司,日式,重庆大学城熙街,20,4.5,"咖喱牛肉饭, 鳗鱼一口饭, 照烧鸡扒饭",10,"好吃, 性价比高, 适合一人食",暂无明显缺点
12,菊一,日式,重庆大学城龙湖,50,4.5,"鳗鱼饭, 唐扬鸡块, 脆脆海苔寿司",5,"新鲜, 好吃, 现杀",暂无明显缺点
14,山南料理,日式,重庆大学城,50,4.5,"鳗鱼饭, 炙烤三文鱼寿司, 酥皮脑花寿司",3,"好吃, 正宗",上菜慢
15,桃太郎,日式,重庆大学城熙街,25,4.2,"豚骨拉面, 肥牛烧丼饭, 日式冷豆腐",8,"好吃, 划算, 新品多","休息早, 人多"
16,川上丼屋,日式丼饭,重庆大学城川美店,15,4,"日式牛肉丼, 烧鸟饭, 地狱梅花肉饭",10,"便宜, 味道好, 配送快","偶尔难吃, 鳗鱼腥"
25,壹口食堂,日式,重庆大学城,30,未知,"鳗鱼饭套餐, 咖喱猪扒饭",2,好吃,有点咸
63,金喜寿司,日式,重庆大学城,20,未知,未知,1,未知,暂无明显缺点
66,海皇姬,日式,重庆大学城微电园,50,未知,未知,1,好吃,暂无明显缺点
67,食其家,日式,重庆大学城,30,未知,鳗鱼饭,1,好吃,暂无明显缺点
72,池奈,日式,重庆大学城熙街,35,未知,猪排菌汤寿喜锅,1,好吃,人多
