请注意：,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
人均消费：原文中明确提及的，按描述估算范围并取中位数；信息模糊的，根据同类店铺和评论语境（如“便宜”、“有点贵”）进行合理推断；完全无法推断的记为“未知”。,,,,,,,,,
综合评分：是基于文档中所有相关评价的综合判断，并非精确计算。,,,,,,,,,
“推荐频次”统计的是明确表示推荐或给予正面评价的提及次数，不包括中性或仅提及店名的次数。,,,,,,,,,
,,,,,,,,,
排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,爱厨梁山鸡,江湖菜/鸡杂/美蛙鱼,重庆沙坪坝华宇广场小区内,70-80,4.3,梁山鸡、美蛙、芋儿,28,味道好、性价比高、蛙肉鲜美,药材味重（部分人介意）、近期分量变少
2,大龙火锅,火锅,重庆沙坪坝小龙坎正街（电台巷）,80-90,4.2,耗儿鱼,22,味道正宗、老字号、锅底稳定,非常辣、环境一般、服务态度有时不佳
3,王少龙火锅,火锅,重庆沙坪坝小龙坎/三峡广场附近,70-80,4.1,蛋炒饭,15,老牌子、味道稳定、相对不辣,部分评论认为味道不如从前
4,权韩烤肉,韩式烤肉,重庆沙坪坝金沙天街B馆旁龙湖光年4号楼,60-70,4.1,南瓜粥、石锅拌饭,11,性价比高、服务好、有团购套餐,肉质和烤制水平评价不一
5,沙胆彪炭炉牛杂煲,粤式牛杂煲,重庆沙坪坝金沙天街内,90-100,4,牛杂煲,14,味道好、固定蘸料绝、环境不错,分量偏少、价格小贵
6,楠枓泰餐,泰国菜,重庆沙坪坝金沙天街内,80-90,4,鸡爪、菠萝炒饭、烤鸡,8,味道正宗、开胃,分量偏少、上菜慢
7,闹热商行,台式简餐/下午茶,重庆沙坪坝陈家湾附近,60-70,4,未知,7,环境漂亮、适合拍照、菜品精致,店面较小、桌子拥挤
8,黑幺妹老火锅,火锅,重庆沙坪坝三峡广场附近,70-80,3.9,未知,6,味道好、辣度适中、性价比高,暂无显著缺点
9,胖子小吃（地下商场）,麻辣烫/冒菜,重庆沙坪坝三峡广场地下商场,30-40,3.9,麻辣烫,13,味道好、老店、菜新鲜,部分评论认为味道不如从前、环境普通
10,刘师傅老火锅,火锅,重庆沙坪坝陈家湾/三峡广场附近,70-80,3.8,未知,7,老火锅味道、本地人常吃,部分评论认为味道不稳定
11,顾乡私房菜,融合菜/私房菜,重庆沙坪坝金沙天街内,80-90,3.8,梅干菜板栗排骨、香茅排骨、坚果冰淇淋烤布蕾,26,环境不错、菜品选择多、有团购,评价两极分化（预制菜争议、服务差、性价比一般）
12,春生老火锅,火锅,重庆沙坪坝爱德华医院后面,70-80,3.7,未知,5,味道不错,非常辣
13,台湾小竹,台式简餐,重庆沙坪坝金沙天街附近,30-40,3.7,卤肉饭/皇帝鱼饭,13,学生时代回忆、性价比简餐,味道普通、缺乏特色、部分认为又贵又难吃
14,半秋山西餐厅,西餐,重庆沙坪坝三峡广场/金沙天街,60-80,3.7,未知,8,环境好、味道稳定、适合约会,暂无显著缺点
15,雷家老农民酸辣粉,小吃,重庆沙坪坝三峡广场好吃巷,15-20,3.5,凉面、凉皮,10,凉面凉皮比酸辣粉出名,价格偏贵、分量少、味道不如从前
16,归井老火锅,火锅,重庆沙坪坝沙铁村/三峡广场附近,80-90,3.4,未知,11,部分人非常喜欢,评价严重两极分化（很多人认为难吃、贵、辣）
17,竹源黑竹笋香鸡,火锅/鸡类,重庆沙坪坝小龙坎,80-100,3.3,竹笋,5,老店、竹笋好吃,环境有异味、味道不如从前
18,重师对面鸡杂（古镇鸡杂）,黔江鸡杂,重庆沙坪坝重师（重庆师范大学）对面,50-60,3.2,鸡杂锅,12,老店、知名度高,评价普遍负面（不入味、咸、油、分量少、食材不新鲜）
生成脑图,,,,,,,,,
