排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,门将火锅,火锅,杨家坪/动物园,80-100,3.8,毛肚、牛油锅,⭐⭐⭐⭐⭐⭐,本地人常提、味道重口地道,两极分化严重、服务差、部分人觉得难吃
2,天宝麻辣串,串串,杨家坪,30-50,4.0,麻辣串,⭐⭐⭐⭐⭐,本地味道稳定、老味道,服务差、不接待单人、体验差
3,四方食店,江湖菜,动物园对面,50-80,3.7,四方鲫鱼、牛肉,⭐⭐⭐⭐⭐,本地认可度高、招牌菜强,普通菜品很差（番茄蛋被吐槽）
4,知友三和鱼,美蛙鱼,杨家坪,70-90,4.2,美蛙鱼头,⭐⭐⭐⭐,多人推荐、稳定好吃,信息较少
5,王五老火锅,火锅,直港大道,70-90,3.6,牛油锅,⭐⭐⭐⭐,老店、本地人推荐,有人说锅底苦、食材一般
6,三山老火锅,火锅,杨家坪,70-90,4.0,牛油锅,⭐⭐⭐⭐,辣度适中、接受度高,讨论不多
7,九龙饭店,家常菜,西郊支路,40-60,4.2,家常菜,⭐⭐⭐⭐,量大便宜、性价比高,无明显负评
8,花饮串屋,串串,商圈地下,30-50,3.5,串串,⭐⭐⭐⭐,层次丰富,有人觉得不好吃
9,爱情麻辣烫,麻辣烫,西郊路,25-40,3.8,麻辣烫,⭐⭐⭐⭐,有人认为比花饮好,也有人觉得一般
10,肖氏米线,米线,杨家坪,20-35,3.2,酸菜肉丝米线,⭐⭐⭐⭐,老重庆记忆,味道下降、服务差
11,十里香烧烤,烧烤,杨家坪,40-60,2.5,烧烤,⭐⭐⭐,—,被评价“最难吃”
12,烤三样,烧烤,杨家坪,40-60,2.8,烤串,⭐⭐⭐,有一定知名度,服务差
13,鸥娅面庄,小面,杨家坪,15-25,2.5,小面,⭐⭐⭐,—,被吐槽不好吃
14,周三老面馆,小面,杨家坪,15-25,4.0,牛肉面,⭐⭐⭐,被推荐替代杨氏牛肉面,讨论少
15,铜豌豆,小面,杨家坪,25-35,3.5,炝锅面,⭐⭐⭐,面筋道、肉多,价格略高
16,洞中香,小吃,商业场,20-30,4.0,凉粉、凉面,⭐⭐⭐,老味道、凉粉强,凉糕一般
17,刘国林凉糕,甜品,杨家坪,46315,4.2,凉糕,⭐⭐⭐,老字号、记忆点强,位置变动
18,阿丹记爬爬虾,海鲜,杨家坪,80-120,3.6,虾、蟹,⭐⭐⭐,部分人很推荐,有人说一般
19,杨氏牛肉面,面馆,杨家坪,20-30,2.0,牛肉面,⭐⭐⭐,老店,大量差评
20,江湖黑大兔,江湖菜,杨家坪,60-80,2.8,兔肉,⭐⭐,曾经好吃,现在不行
