排名,店名,类型,位置,人均 (元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,长旭大牛串串,串串香,杨家坪店 / 大堰总店,40-50,★★★★★,咸蛋黄丸子、虎皮鸡爪、鲜牛肉,极高,性价比高、本地人常驻、菜品新鲜,饭点排队、人多拥挤
2,知友三和鱼,美蛙鱼,杨家坪直港大道,60-70,★★★★★,跳水蛙、黄辣丁、面块,极高,味道香浓、老店口碑、蛙鱼鲜嫩,极辣、排队严重、仅现场取号
3,归井老火锅,老火锅,杨家坪步行街,50-60,★★★★☆,鲜毛肚、牛蹄筋、九宫格锅底,高,味道醇厚、本地人爱吃、锅底正宗,偏辣、环境一般、需排队
4,门将老火锅,老火锅,动物园附近,50-60,★★★★,耙牛肉、鲜鹅肠、微辣锅底,高,菜品新鲜、本地人认可、性价比 OK,辣度高、服务一般、部分人觉得难吃
5,四方食店,江湖菜 / 家常菜,动物园对面西子路,40-50,★★★★★,四方鲫鱼、酸酸鸡、四方牛肉,高,开了 20 + 年、本地老字号、味道正宗,环境简陋、饭点排队
6,联防食店,家常菜,铁路一村店,40-50,★★★★,鱼香肉丝、尖椒兔、水煮肉片,高,分量足、价格实惠、本地家常菜,味道偏咸、适合下酒、偶尔排队
7,金汤 / 越洋肖氏米线,米线,杨家坪中学旁 / 80 中旁,15-25,★★★★,酸菜肉丝米线 + 辣子鸡,高,开了 30 + 年、本地情怀、出餐快,味道不如从前、韭菜加价、服务态度一般
8,铜豌豆,小面 / 米线,杨家坪步行街,20-30,★★★★,炝锅面、鳝鱼面、豌杂面,高,分量大、面条筋道、口味独特,价格偏高、味道不如早年
9,洞中香,特色小吃,美龙商业场负一层,46315,★★★★,凉面、黄凉粉、杂粮凉糕,高,开了 20 + 年、本地情怀、调料独特,凉糕偏酸、环境一般、服务态度差
10,猪脑壳老火锅,老火锅,民主村,50-70,★★★★,小酥肉、肠头、发鱿鱼,高,越煮越香、冰豆花种类多、座位多,环境简陋、服务忙不过来、后期偏辣
11,花饮串屋,麻辣烫 / 串串,杨家坪地下商场,20-30,★★★★,苕皮、素菜串,高,开了 20 + 年、本地情怀、价格便宜,味精味重、偏咸、老板态度一般、偶尔乱算账
12,爱情麻辣烫,麻辣烫,杨家坪西郊路 / 地下通道,15-25,★★★★,素菜麻辣烫,高,本地人从小吃到大、性价比高、味道正宗,环境脏乱、靠近厕所、辣椒偶尔发苦
13,弟兄老火锅,老火锅,动物园附近,50-60,★★★★,中辣锅底、鲜毛肚,高,位置近动物园、味道温和、本地人推荐,辣度中等、门店较小
14,鸭肠米线,米线,直港大道天桥下,20-30,★★★★,鸭肠套饭、鸭肠米线,高,味道正宗、本地老牌,价格偏贵、分量一般、周日休息
15,三山老火锅,老火锅,杨家坪,50-60,★★★★☆,微辣锅底、鲜菜,高,辣度温和、适合不能吃辣的人、口味正宗,门店名气不如门将
16,天宝麻辣串,串串香,杨家坪,30-40,★★★★,传统牛油串,高,本土老味道、开了 20 + 年,不接待单人、低消 50、服务态度差
17,江二娃串串香,串串香,杨家坪步行街,30-40,★★★☆,经典串串,中,价格便宜、位置近轻轨,卫生一般、锅底偏黑、偶尔乱算账
18,好汉烤鱼,烤鱼,滩子口九龙花园,50-60,★★★★,香辣烤鱼、泡椒烤鱼,中,味道正宗、开了多年、烤得焦香,出餐慢、需提前预约
19,阿丹记爬爬虾,海鲜 / 烧烤,杨家坪步行街,80-100,★★★★,爬爬虾、扇贝、蟹,中,味道好、食材新鲜,价格偏贵、卫生一般
20,香辣源,干锅 / 香辣蟹,杨家坪团结路口,100-150,★★★★,香辣蟹、咸蛋黄蟹、口水鸡,中,食材优质、味道一绝,价格偏高、人均较贵
21,杜姐麻辣串,凉拌串串,民主村 / 地下商场,15-25,★★★★,凉拌麻辣串,中,味道正宗、本地老牌,门店小、位置少、价格上涨
22,九龙饭店,家常菜,西郊支路店,30-40,★★★★,家常小炒、分量实惠,中,价格便宜、菜量多、本地家常味,无明显短板
23,刘国林凉糕,糖水,国美支路 / 万象城斜坡,46152,★★★★★,凉糕、红糖凉糕,高,本地老牌、糯叽叽、甜度适中,无明显缺点
24,小米米凉虾,糖水,万象城总店,46249,★★★,凉虾,中,位置方便、口感 Q 弹,部分人觉得味道偏酸
25,烤三样,烧烤,杨家坪总店,30-40,★★★,烤串,中,本地老牌、味道传统,老板服务态度不好
26,胖哥烧烤,烧烤,杨家坪,30-40,★★★,碳烤串,中,味道正宗、本地人常吃,位置较偏
27,曾真耙牛肉,火锅 / 耙牛肉,杨家坪,60-70,★★★★,耙牛肉、牛杂,中,牛肉耙糯、锅底香浓,无明显短板
28,老战友耙牛肉,火锅 / 耙牛肉,杨家坪,60-70,★★★,耙牛肉,中,牛肉软糯、口味正宗,推荐度一般
29,天宝面庄,小面,杨家坪,15-25,★★★★,辣子鸡面、牛杂面,中,味道正宗、本地老牌,无明显短板
30,周三老面馆,小面,杨家坪,15-20,★★★★,豌杂面、干溜面,中,本地老牌、杂酱独特,豌豆偶尔不耙
