排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,醉小酒馆,江湖菜,重庆大学城熙街,40,4.5,"嘶嘶耙鸡脚, 酱香排骨猪手, 小炒黄牛肉",12,"好吃无雷, 辣而美味, 下饭",暂无明显缺点
2,戏作寿司,日式,重庆大学城熙街,20,4.5,"咖喱牛肉饭, 鳗鱼一口饭, 照烧鸡扒饭",10,"好吃, 性价比高, 适合一人食",暂无明显缺点
3,守柴炉烤鸭,烤鸭,重庆大学城熙街,30,4.5,"烤鸭, 酸萝卜火锅",6,"好吃, 份量大, 搭配好",暂无明显缺点
4,黔江鸡杂,家常菜,重庆大学城川美南门,20,4.5,"糖醋里脊, 孜然土豆片, 孜然排骨",10,"现炒, 便宜, 下饭",环境一般
5,潮妈面庄,面庄/家常菜,重庆大学城川美南门,20,4.5,"莲白回锅肉, 鱼香肉丝, 尖椒鸡拌刀削面",8,"好吃, 下饭, 现炒",暂无明显缺点
6,成都川菜馆,川菜,重庆大学城富力城,30,4.5,"干煸肉丝, 双椒碎牛肉",7,"物美价廉, 卫生, 宝藏",暂无明显缺点
7,瑞记江湖菜,江湖菜,重庆大学城,30,4.5,未知,6,"好吃, 强烈推荐",暂无明显缺点
8,幸福豆花,家常菜/豆花,重庆大学城,25,4.5,炒菜,6,"好吃便宜, 人爆满, 有锅气",暂无明显缺点
9,好食连连,家常菜,重庆大学城,30,4.5,"番茄炒蛋, 排骨年糕",5,"不踩雷, 好吃",暂无明显缺点
10,椰椰泰,泰式,重庆大学城,30,4.5,未知,5,"好吃, 宝藏",暂无明显缺点
11,孖生记,茶餐厅,重庆大学城,30,4.5,未知,5,好吃,暂无明显缺点
12,菊一,日式,重庆大学城龙湖,50,4.5,"鳗鱼饭, 唐扬鸡块, 脆脆海苔寿司",5,"新鲜, 好吃, 现杀",暂无明显缺点
13,青厨乐,中餐,重庆大学城,30,4.5,柠檬手撕鸡,4,"好吃, 不预制",暂无明显缺点
14,山南料理,日式,重庆大学城,50,4.5,"鳗鱼饭, 炙烤三文鱼寿司, 酥皮脑花寿司",3,"好吃, 正宗",上菜慢
15,桃太郎,日式,重庆大学城熙街,25,4.2,"豚骨拉面, 肥牛烧丼饭, 日式冷豆腐",8,"好吃, 划算, 新品多","休息早, 人多"
16,川上丼屋,日式丼饭,重庆大学城川美店,15,4,"日式牛肉丼, 烧鸟饭, 地狱梅花肉饭",10,"便宜, 味道好, 配送快","偶尔难吃, 鳗鱼腥"
17,德香苑脆皮烤鸭,烤鸭,重庆大学城龙湖U城,30,4,"烤鸭, 鸭架",8,"好吃, 份量大","一般, 海鲜拼盘差"
18,无届青年,中餐,重庆大学城熙街,40,3.8,"日式豆腐煲, 金沙牛肉, 香茅松板肉",10,"菜系多, 新奇, 饮料好喝","肉品质差, 预制菜"
19,京顺斋烤鸭,烤鸭,重庆大学城富力城,25,3.8,"片皮烤鸭, 孜然鸭架",7,"份量大, 便宜","味道一般, 鸭味重"
20,蓝豆花,川菜,重庆大学城熙街,40,3.5,"水煮肉片, 蒜泥白肉, 粉蒸排骨",25,"份量大, 环境好, 口味麻辣","菜量少, 味道一般, 预制菜疑虑"
21,乡村岁月,家常菜,重庆大学城,30,3.5,炒菜,7,"好吃, 团购划算","水平不稳, 量少贵"
22,阿嫂印象,中餐,重庆大学城,30,3.5,未知,6,好吃,"难吃, 预制菜"
23,卓格饭店,家常菜,重庆大学城重大西一门,35,3.5,"蒜泥白肉, 干锅鸡, 豌豆颠",5,"份量大, 味道好","调味怪, 油重"
24,程源记,粤式,重庆大学城,40,未知,"烧鸭, 炒河粉, 叉烧",1,好吃,暂无明显缺点
