排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,爱厨梁山鸡,川菜,重庆沙坪坝华宇广场小区内,40,4.6,鸡爪、鸡腿、牛蛙、芋头,18,便宜好吃、软糯下饭,偶尔服务态度问题
2,半秋山,西餐,重庆沙坪坝三峡广场,70,4.5,西餐主菜,8,好吃、环境好、分量足,暂无明显缺点
3,沙胆彪,牛杂煲,重庆沙坪坝金沙天街,80,4.5,牛杂煲,8,好吃,量少
4,热盘子与迷迭香,西餐,重庆沙坪坝金沙天街,90,4.5,牛排、黄油大虾、海胆饭,4,氛围感强、适合约会、出片,暂无明显缺点
5,归井,火锅,重庆沙坪坝,80,4.4,火锅菜品,10,好吃、多次强烈推荐,较辣、部分人拉肚子
6,权韩烤肉,韩式烤肉,重庆沙坪坝金沙天街B馆,60,4.4,南瓜粥、石锅拌饭,7,服务好、新鲜、性价比高,部分肉质较老
7,楠枓泰餐,泰餐,重庆沙坪坝金沙天街,80,4.4,鸡爪、菠萝炒饭、烤鸡,6,好吃、开胃,分量少、上菜慢
8,王少龙,火锅,重庆沙坪坝,70,4.3,蛋炒粉,15,不辣、便宜、本地人多,久未去可能变味
9,刘师傅,火锅,重庆沙坪坝陈家湾,75,4.3,火锅菜品,6,老火锅,未知
10,台湾小竹,台湾菜,重庆沙坪坝金沙天街附近,70,4.1,卤肉饭,10,老店、好吃,价格较高、现在一般
11,大龙火锅,火锅,重庆沙坪坝三峡广场,80,4.1,耗儿鱼,25,老店、真实好吃,太辣、服务差、越吃越苦
12,顾乡,私房菜,重庆沙坪坝金沙天街,65,4.0,梅干菜板栗排骨、香茅排骨,15,量大、性价比高,服务差、预制菜
