排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,妈也食堂,江湖菜/川菜,上新街老街,80-120,4.9/5,过江兔、泡椒双脆、凉拌黄瓜、兔子套餐,5+,兔子绝绝子、份大、新鲜、预订超方便、明星打卡,辣度对无辣者偏高，素菜需补点
2,紫薇餐馆,苍蝇馆子川菜,南山邮电大学侧街二楼,50-70,4.7/5,鸡哈豆腐、泡椒牛肉、三椒鲫鱼、肝腰合炒,12+,下饭王、份量足、明档干净、烟火气,上菜极慢、高峰期气人、接待能力差
3,九九牛肉馆,苍蝇馆子牛肉,南山老君洞/南山路,40-60,4.3/5,泡菜牛肉丝、肝腰合炒、水煮牛肉、冷吃牛肉,18+,锅气+回忆杀、下饭到停不下来、性价比高,近年不稳定（咸/一般）、排队严重、争议大
4,海棠溪羊肉馆,羊肉/汤锅,海棠溪正街36号（喜来登附近）,60,4.5/5,爆炒羊肝、羊肉笼笼、红烧羊排、凉拌羊肚、羊汤,8+,老店地道、羊不膻、奶香汤、性价比高,份量小、主打小碗、部分人觉得一般
5,水产老幺火锅,老火锅,上新街巷子,80-110,4.6/5,（本地人默认首推）,7,巷子隐藏、本地人强烈安利、锅底香,具体菜品细节少，需现场点
6,祝幺妹火锅,土火锅,裕华村总店/弹子石,70-100,4.4/5,-,6,开多年、土火锅代表、多次被本地人推,品控偶尔不准、部分人觉得涨价
7,四娃面庄,老面馆,上新街地铁2号口200米,15-25,4.5/5,豌杂、牛肉面、酸菜面,4,30年老店、劲道+正宗、烟火气拉满,店面陈旧、交接班水平有波动
8,久鑫美蛙鱼头,江湖菜/蛙鱼,弹子石老店,70-90,4.6/5,火爆蛙肚、干烧鳝段,5,老店巨香、多年不变、值得反复去,位置稍偏
9,黑白荤豆花,荤豆花火锅,上浩站对面,30-50,4.0/5,三鲜/腊排骨锅底 + 自助菜 + 油碟,5,价格白菜、菜品丰富、蘸碟香,味道中规中矩、不值得专程、广告多
10,猪妹儿土火锅,土火锅,弹子石,70-95,4.3/5,-,6,不腻、多次被土著推荐,涨价争议
11,刘记盘龙烧烤,烧烤,弹子石,60-80,4.2/5,螺丝串（注意福寿螺）,4,从小吃到大、店面大,油重、螺丝混福寿螺、近年退步
12,沁园干锅脆皮鸡,干锅,重邮对面,40-55,4.5/5,脆皮鸡（可双拼）,3,小锅丰富、配菜多、性价比高,仅重邮附近
13,袁兵（肥肠芋儿鸡/鱼头蛙）,江湖菜,弹子石,65-85,4.4/5,肥肠芋儿鸡、鱼头蛙,4,老店、新品种也香,具体定位需导航
14,晏蹄花,蹄花/家常,弹子石/涂山,50-70,4.3/5,蹄花,3,本地人名单常客,细节少
15,大佛饭庄,家常川菜,弹子石,50-65,3.8/5,-,3,老店风格,排队久、近年评价一般
