排名,店名,类型,人均(元),综合评分,主要优点,主要缺点,推荐频次
1,渝歪嘴火锅（总店）,老火锅,70–85,9.1,菜品极新鲜、锅底香不苦、无营销、老师学生都爱,价格偏高、部分分店不稳定、高峰期排队久,⭐⭐⭐⭐⭐ (30+)
2,藏到吃鱼,美蛙鱼头,80–100,8.9,蛙嫩鱼鲜、非预制、可混点、博主实拍多,需提前20分钟电话预约、服务较随意、环境普通,⭐⭐⭐⭐☆ (25+)
3,歪角老火锅（陈家桥总店）,老火锅,60–80,8.7,老重庆味、香而不死咸、本地人常去、便宜,二楼卫生差（有用户见洗碗盆脏）、越煮越咸争议、服务慢,⭐⭐⭐⭐⭐ (40+)
4,六姐老火锅,老火锅,70–90,8.5,有牛胸口油、老板热情、带狗友好、回头客多,两人吃易超300元、位置隐蔽,⭐⭐⭐⭐ (20+)
5,笨火锅,老火锅,85–100,8.4,味道正宗、食材优质、干净、无冻货,价格贵、位置偏、不适合预算党,⭐⭐⭐⭐ (18+)
6,二妹美蛙鱼,美蛙鱼头,70–90,8.3,本地人认可、蛙入味、够辣够麻,环境简陋、无包厢、位置难找,⭐⭐⭐⭐ (15+)
7,阿嫂记忆老火锅,老火锅,60–75,8.0,免费蛋炒饭/冰粉、小菜多、氛围热闹,**卫生风险高**（多人曝“老鼠屎”“拉肚子”）、品控不稳,⭐⭐⭐⭐ (25+)
8,渝厨生态火锅,老火锅,70–90,7.9,环境好、配菜丰富、免费洋芋饭、适合请客,偏贵、锅底不够重口、外地人更爱,⭐⭐⭐☆ (12+)
9,老地瓜火锅,老火锅,55–70,7.8,土豆饭免费、冰粉1毛任吃、嬢嬢亲切,近年味道下滑、菜品普通,⭐⭐⭐☆ (15+)
10,青木火锅（仟佰汇店）,老火锅,70–85,7.7,锅底稳定、菜品较精致、位置方便,越来越咸、蔬菜不洗（有虫）、性价比一般,⭐⭐⭐☆ (20+)
11,信赖心诚香锅鱼,美蛙鱼头,70–90,7.6,麻辣味重、鱼肉嫩、部分人认为优于藏到,蛙评价两极、服务一般,⭐⭐⭐ (10+)
12,集合老火锅,老火锅,60–80,7.5,多人称“大学城最好吃”、口味突出,信息少、未大规模推广、位置普通,⭐⭐⭐ (8+)
13,矿火锅,老火锅,75–90,7.4,干净、味道好、有忠实客群,价格小贵、位置偏,⭐⭐⭐ (8+)
14,李火辣火锅,老火锅,80–100,7.2,适合请外地朋友、装修体面,只辣不香、性价比低、本地人不推,⭐⭐⭐ (12+)
15,建新村老火锅（陈家桥店）,老火锅,50–70,7.1,便宜、锅底够味、学生党首选,冻货多、肉不新鲜、吃完身上味重、卫生一般,⭐⭐⭐⭐⭐ (35+)
16,后火锅（自助）,自助火锅,59.8,7.0,自助划算、毛肚尚可、价格透明,锅底平淡、第二轮加汤味淡、菜品普通,⭐⭐⭐ (10+)
17,升凡火锅,老火锅,65–80,6.9,多人推荐、口味尚可、稳定,缺乏亮点、无突出记忆点,⭐⭐⭐ (8+)
18,泥古牛火锅,老火锅,50–70,6.8,便宜、牛肉大块、蛋炒饭好吃,已有用户称“不如从前”、部分店关闭,⭐⭐⭐ (10+)
19,小王少龙火锅,社区火锅,60–80,6.7,性价比高、鲜切牛肉好、需排队,上菜慢、微辣也很辣、服务一般,⭐⭐☆ (6+)
20,吾舍老火锅,老火锅,70–85,6.6,**非常干净**、服务好、环境整洁,味道中规中矩、名气小,⭐⭐☆ (5+)
21,地壹站地摊老火锅,地摊火锅,50–70,6.5,烟火气足、强推多次、价格低,无堂食感、环境简陋,⭐⭐☆ (5+)
22,民心食府,老火锅,60–75,6.4,少量正面评价、家常味,信息极少、无法验证,⭐⭐ (3+)
23,舜火锅,老火锅,60–80,6.3,本地人推荐、位置便利,评价稀少,⭐⭐ (3+)
24,铁匠火锅,老火锅,70–90,6.2,新提及、语气肯定,无详细反馈,⭐⭐ (2+)
25,长口老火锅,老火锅,60–80,6.1,被称为“No.1”,距离稍远、信息少,⭐⭐ (2+)
26,鸿家大院,老火锅,70–85,6.0,小料种类多、位置方便,味道普通、无特色,⭐⭐ (5+)
27,奇闻老火锅,老火锅,60–80,5.8,作者初体验不错,用户提及少、缺乏认可,⭐⭐ (4+)
28,不挂科老火锅,老火锅,60–80,5.5,名气大、历史久、营销强,**大量本地人吐槽“只辣不香”“发苦”“广子多”**,⭐⭐⭐⭐ (30+)
29,山水溶洞火锅,老火锅,80+,5.0,装修独特、适合拍照,味道普通、非地道重庆味、性价比低,⭐⭐ (4+)
