排名,店名,类型,位置,人均 (元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,妈也食堂,江湖菜 / 川菜,上新街,50,4.8,过江兔、泡椒双脆、凉拌黄瓜、鲫鱼、牛蛙,高频,重庆正宗麻辣口味，食材新鲜，分量巨大，可提前电话下单，2 人套餐划算，装修有特色,部分菜品偏辣，高峰时段可能排队
2,双椒新新卤 (龙门路店),卤味,龙门路,30,4.6,草包牛肉、白砍鸡,中高频,卤味味道绝佳，本地人强烈推荐，可真空打包，性价比高,暂无明显缺点
3,猪妹儿老火锅 / 土火锅,火锅,涂山 / 弹子石附近,70,4.6,经典火锅菜品,高频,本地人反复打卡，重口味爱好者最爱，锅底香味浓郁，地道老火锅味,近期有轻微涨价情况
4,四娃面庄,面馆,上新街地铁站 2 号口步行 200 米,15,4.5,豌杂面、牛肉面、担担面,高频,30 年老店，味道巴适，牛肉大块实在，豌豆耙糯翻沙，一两起点可多尝,店面陈旧，交接班时出品水平有起伏，部分人觉得吃后烧心
5,久鑫美蛙鱼头,美蛙鱼头 / 江湖菜,弹子石（老店）,65,4.5,美蛙鱼头、火爆蛙肚、干烧鳝段,中高频,老店味道正宗，蛙肚 / 鳝段巨香，食材新鲜，重口味适配,暂无明显缺点
6,砍下肥肠芋儿鸡,江湖菜,弹子石,60,4.5,肥肠芋儿鸡,中频,味道绝佳，本地人强烈推荐，芋儿软糯，肥肠处理干净,暂无明显缺点
7,渝伟记火锅串串香,串串香,弹子石老街蜜雪冰城旁梯坎下,45,4.5,各类串串,中高频,价格便宜，味道正宗，弹子石串串 top1，菜品丰富,部分人觉得汤底偏咸
8,南山有烧烤,自助烤肉,南山,128,4.4,各类自助烤肉、新鲜鱼肉,中频,狂飙同款，菜品丰富，可看落日 + 重庆夜景，烤肉品质在线,人均偏高，不适合性价比需求
9,黄桷树土鳝鱼,江湖菜,弹子石,60,4.4,土鳝鱼,中频,老板现称现剖现炒，鳝鱼肉紧致，江湖菜正宗麻辣味，食材新鲜,店铺位置较偏，不易寻找
10,东海长洲高抄手,抄手 / 小吃,弹子石东海长洲,20,4.4,抄手（全口味）,中频,本地人推荐，抄手皮薄馅大，汤底鲜，性价比超高,暂无明显缺点
11,苗妹面庄,面馆 / 家常菜,南山重邮新校门边上,20,4.4,尖椒拱嘴、辣子鸡、肝腰合炒,中频,性价比天花板，肝腰合炒大份仅 18 元，家常菜巨下饭,暂无明显缺点
12,水产老幺火锅,火锅,上新街,75,4.4,经典火锅菜品,高频,上新街火锅首推，本地老牌，锅底香味浓郁，牛油味正宗,味道有波动，部分人觉得现在口感不如从前
13,紫薇餐馆,川菜 / 江湖菜,南山邮电大学外面侧街上二楼,40,4.3,鸡哈豆腐、泡椒牛肉、三椒鲫鱼、泡椒儿肠,高频,与九九牛肉齐名，份量足价格低，透明厨房干净，菜品锅气足、巨下饭,上菜速度极慢，高峰期易售罄菜品，接待能力较差
14,刘氏重庆鸡公煲,鸡公煲,南山重邮附近,20,4.3,鸡公煲（可加配菜）,中频,鸡肉多且嫩，超级入味，配菜丰富，学生党友好，性价比高,暂无明显缺点
15,袁兵鱼头蛙,美蛙鱼头,弹子石,65,4.3,美蛙鱼头,中频,味道正宗，美蛙肉质鲜嫩，鱼头新鲜，汤底可喝汤,暂无明显缺点
16,擂神老火锅车手店,火锅,弹子石,75,4.3,经典火锅菜品,中频,本地人推荐，锅底醇厚，菜品新鲜，重口味适配,暂无明显缺点
