排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,九九牛肉馆 ,川菜/苍蝇馆子,南山,40-60,4,泡菜牛肉丝、肝腰合炒、牛肉汤、泡萝卜牛肉,极高,超级下饭，有“锅气”，牛肉菜品专精，性价比高。,争议大（部分人觉得咸、一般），排队严重，上菜慢，口味不稳定，老板态度被吐槽。
2,紫薇餐馆,川菜/苍蝇馆子,南山（邮电大学附近）,未明确,4.2,鸡哈豆腐、泡椒牛肉、三椒鲫鱼、泡椒儿肠,高,味道巴适，份量足，价格不贵，透明厨房。,上菜巨慢，高峰期等位久，接待能力有限。
3,妈也食堂,江湖菜,上新街,未明确,4.5,过江兔、泡椒双脆、凉拌黄瓜,高,麻辣可口，菜品新鲜（活兔、牛蛙），可电话预定下单。,排队厉害，部分菜品过辣，过江兔分量大可能影响点其他菜。
4,海棠溪四季羊肉馆 ,羊肉馆/老店,海棠溪（喜来登酒店附近）,60左右,4,爆炒羊肝、羊肉笼笼、红烧羊排、凉拌羊肚、羊肉汤,高,羊肉处理得好（膻味轻），菜品选择多，汤鲜。,分量偏少，性价比有争议，口味重（部分人觉得咸），服务员态度差。
5,四娃面庄 ,面馆/老店,上新街地铁站附近,20+,4.3,豌杂面、担担面、牛肉面,中,30年老店，味道巴适，豌杂翻沙，牛肉大块。,店面旧小，水平可能有起伏，部分食客反映吃了烧心。
6,黑白荤豆花 ,荤豆花/汤锅,上浩地铁站附近,30-45,3.8,三鲜/牛肉/腊排骨锅底，自助菜品，蘸碟,中,性价比高，蘸碟香（油辣子可单买），菜品自助丰富，适合清淡口。,味道中规中矩，被指“营销过多”，部分人觉得难吃、贵。
7,久鑫美蛙鱼头 ,江湖菜（蛙/鱼）,弹子石,未明确,4.2,美蛙鱼头、火爆蛙肚、干烧鳝段,中,老店，味道巨香，菜品有特色。,未明确提及，但老店可能存在口味波动。
8,猪妹儿老火锅/土火锅,火锅,弹子石/涂山,未明确,4.1,未具体说明,中,本地人反复刷，味道认可度高。,有反映涨价，高峰期嬢嬢可能催人。
9,水产老幺火锅 ,火锅,上新街,未明确,4,未具体说明,中,巷子里的老店，被附近居民推荐。,味道被指不稳定，不如以前。
10,渝伟记串串香 ,串串,弹子石老街附近,未明确,4.2,未具体说明,中,便宜好吃，口碑好。,部分人觉得咸。
11,刘记盘龙烧烤 ,烧烤,弹子石,未明确,3.9,未具体说明,中,从小摊发展到店面，有一定口碑。,被指油大、使用福寿螺，品控下降。
12,祝幺妹火锅 ,火锅,弹子石（裕华村）,未明确,3.8,未具体说明,中,总店老字号，被列入推荐清单。,品控不准，有时服务态度一般。
13,玖玖蒸菜 ,家常菜/蒸菜,弹子石,未明确,3.5,未具体说明,低,本地推荐清单中有名。,被指名不副实，性价比不高。
14,和记餐馆,家常菜,弹子石,未明确,未评分,未具体说明,低,被本地人列入推荐清单。,未明确提及。
15,袁兵鱼头蛙 ,江湖菜（蛙/鱼）,弹子石,未明确,未评分,未具体说明,低,被多人推荐。,未明确提及。
16,阿亮凉糕,糖水,弹子石大佛段,未明确,未评分,凉糕,低,本地推荐清单中的特色糖水。,未明确提及。
17,胖子好盐水鸭 ,卤味,弹子石,未明确,未评分,盐水鸭,低,总店，被列入推荐清单。,未明确提及。
18,苗妹面庄,面馆,南山（重邮附近）,20+,未评分,肝腰合炒（菜）,低,价格实惠，肝腰合炒分量足。,未明确提及。
19,打通羊肉馆（多家） ,羊肉馆,辅仁路、松藻小区等,未明确,4.2（评论提及）,未具体说明,低（评论区对比提及）,在评论区被多位本地人认为比“海棠溪四季羊肉馆”更好吃。,未明确提及。
