排名,店名,类型,位置,人均(元),综合评分,推荐频次,主要优点,主要缺点
1,廖记老砂锅,砂锅菜,上清寺/中山四路,30,9.2,非常高,实惠好吃，笋子牛肉很烂很入味，淮山排骨汤好喝，10多年老店口碑稳定,高峰时段需等位
2,廖掌柜火锅,火锅,牛角沱地铁口附近,65,9.0,高,"本地老字号，性价比高，营业至凌晨2点，特色干贡菜是灵魂，有可爱修狗""果果""",对不习惯重辣的人可能太辣
3,洞亭火锅/山城防空洞火锅,火锅,中山三路/大溪沟天桥旁,75,8.8,高,位于防空洞内特色体验，地道老重庆风味，微辣对外地人较友好,价格略高，口味性价比不是最高
4,成长巷巷面,面馆,美专校街,15,8.8,高,本地人强烈推荐，虽门面小但味道正宗，人气极高,周末只营业到下午两点，天气热可能休息，难找
5,陈有良尖椒鸡,特色菜,牛角沱/大礼堂附近,55,8.7,中高,尖椒鸡和烘蛋绝赞，酸菜鱼配面一流，本地人认可,菜品较辣，不太适合不吃辣人士
6,老吆面,面馆,邮局后门,10,8.6,中,比成长巷巷面更受老重庆人喜爱，地道口味，价格实惠,营业时间短(仅6-10点)，佛系营业不规律
7,张鲜鲜干拌抄手,小吃,美专校街,20,8.5,中,抄手Q弹有嚼劲，冰粉和红糖汤圆同样出彩，性价比高,店面较小，高峰时段拥挤
8,志哥牛肉面/眼镜牛肉面,面馆,酒店对面,15,8.5,中,红油抄手特别受欢迎，位置便利，经济实惠,面食选择相对单一
9,何王氏串串香,串串,桂花园,50,8.3,中,20年老店，生意火爆，地道重庆串串体验,有人评价两极，高峰期排队时间长
10,喜洋洋餐厅,家常菜,中山四路,45,8.3,中,适合不太能吃辣的外地人，酱油鸡和小米排骨是招牌，环境较好,部分重庆本地人认为口味一般
11,文婆婆火锅,火锅,牛角沱附近,55,8.3,中,便宜又好吃，本地人认可的老店，性价比高,位置隐蔽，装修简陋
12,秘密花园餐厅,江景餐厅,牛角沱,80,8.5,中,拥有绝美江景日落view，环境高端浪漫，适合约会拍照,价格在重庆属于小贵水平
13,胡家特色面,面馆,美专校街,15,8.2,低中,与成长巷巷面齐名，面条劲道，调料正宗,天气热可能不营业
14,贵州沾水米线,米线,学田湾车站,12,8.2,低中,几十年老店，地道口味，价格实惠,位置不易找，只做简餐
15,大溪沟坝坝火锅,火锅,大溪沟,60,8.2,低中,社区老火锅，口碑稳定，食材新鲜,位置稍远，环境简陋
16,手提串串,串串,市政府旁边,45,8.0,低,比何王氏更受部分当地人喜爱，特色体验,门面极小，难找，易错过
17,陈记香辣馆,干锅,牛角沱附近,50,8.0,低,开了二十多年，干锅口味正宗,有人认为对面黔江鸡杂更好吃
18,人和街眼镜凉虾,小吃,人和街小学旁,8,8.0,低,特色小吃，解暑佳品，价格实惠,仅下午5:30后出摊，位置隐蔽
19,范嬢嬢糯米团,小吃,学田湾/春森路,10,8.0,低,传统早餐小吃，几十年老店，口感软糯,早上营业，不易找到
20,四间火锅,火锅,牛角沱附近,60,7.5,中,有微辣选择，团购价格实惠，可点蛋炒饭,评价褒贬不一，有人反映食材不新鲜
