排名,店名,类型,位置,人均(元),综合评分,推荐菜品,推荐频次,主要优点,主要缺点
1,半秋山,西餐,重庆沙坪坝三峡广场,65,4.5,牛排、意面、披萨,9,味道好分量足、环境优雅适合约会、本地人认可度高,桌子较小较拥挤
2,楠枓,泰餐,重庆沙坪坝金沙天街,80,4.3,鸡爪、菠萝炒饭、烤鸡,12,酸味开胃风味正宗、饮品好喝、朋友跨区专程来吃,分量偏少、上菜速度慢
3,三生三味,川菜,重庆沙坪坝金沙天街,70,4.2,豆花牛肉、川菜系列,10,豆花牛肉超下饭、窗台景观好、家庭聚餐友好,部分菜品偏辣
4,沙胆彪,牛杂煲,重庆沙坪坝金沙天街B馆,90,4.0,炭炉牛杂煲、特色蘸碟,14,蘸碟风味独特、性价比高(90元双人餐吃撑)、常客多,有评论称可能已停业
5,爱厨梁山鸡,江湖菜,重庆沙坪坝华宇广场小区内,70,3.8,芋儿、美蛙鱼、酸菜鸡,22,价格实惠、芋儿入味软糯、多种选择(鸡/蛙/鱼),药材味较重(部分人不适应)、近年分量有减少
6,权韩烤肉,韩式烤肉,重庆沙坪坝龙湖光年4号楼30+层,60,3.8,烤肉拼盘、南瓜粥,11,工作日50元双人餐性价比高、有专人帮忙烤、服务热情,位置在高层写字楼、肉质评价不一
7,金妈家,烤肉,重庆沙坪坝金沙天街,85,3.7,各类烤肉,7,肉质新鲜、服务态度好、环境舒适,价格略高
8,野菜篮篮,贵州菜,重庆沙坪坝金沙天街,85,3.7,野菌拼盘、酸汤米线、酸汤牛肉,9,酸汤风味独特、菌类新鲜、已五刷的忠实顾客多,近期套餐分量减少
9,二火锅,火锅,重庆沙坪坝土湾,70,3.7,金针菇、土火锅,8,中辣锅底风味佳、金针菇口感绝、本地人常去,位置稍偏(土湾)、环境一般
10,阿辉鸡杂,江湖菜,重庆沙坪坝华宇广场附近,50,3.6,鸡杂、泡萝卜,8,泡萝卜酸辣脆爽超下饭、比其他鸡杂店评价更好,位置需寻找(小区内)
11,顾乡,私房菜,重庆沙坪坝金沙天街,75,3.0,香茅排骨、梅干菜板栗排骨、玉米咸蛋黄鸡翅,28,部分顾客认为味道稳定不出错、适合多人聚餐,服务态度差争议大、疑似预制菜、性价比评价两极
12,大龙火锅,火锅,重庆沙坪坝小龙坎正街/电台巷,85,3.0,耗儿鱼,17,老店(十年+)、本地人认可、锅底有特色,服务态度差、锅底越煮越苦、价格偏高
13,王少龙火锅,火锅,重庆沙坪坝,80,3.0,未知,12,老牌子(十几年)、辣度适中适合外地人、环境尚可,近年评价减少、味道可能有变化
14,黑幺妹老火锅,火锅,重庆沙坪坝,70,3.0,未知,9,价格实惠、味道正宗、回头客多,辣度较高(比王少龙辣)
15,归井老火锅,火锅,重庆沙坪坝沙铁村,90,2.8,未知,11,部分顾客强烈推荐、锅底有特色,人均消费偏高、辣度大、评价两极分化
16,台湾小竹,台湾菜,重庆沙坪坝金沙天街附近,50,2.8,卤肉饭、皇帝鱼饭,14,卤肉饭口碑好、经营20+年有情怀,价格偏高、整体味道不如从前、评价两极
17,西塔老太太,韩式烤肉,重庆沙坪坝金沙天街,95,2.7,烤肉、麻酱蘸料,11,韩式风味正宗、麻酱特色、适合喜欢韩餐者,"服务态度不稳定、价格偏高、部分人认为""巨难吃"""
18,董小面,小面,重庆沙坪坝(位置多次变动),12,2.7,泡椒味小面、海带面,11,泡椒风味独特、酸萝卜上头、本地人记忆中的味道,夏天食用体验差(太热)、味道稳定性存疑
19,雷家老农民,小吃,重庆沙坪坝三峡广场巷内,13,2.7,凉面、凉粉,16,凉面凉粉比酸辣粉更受欢迎、本地人认可,价格偏高(相对分量)、分量少、味道近年有变化
20,胖子小吃,麻辣烫,重庆沙坪坝地下商场,25,2.6,麻辣烫、冒菜,13,本地人认可的老店、开了很多年有情怀,"味道近年变淡、价格争议(""随随便便三十多"")"
21,重师对面鸡杂,江湖菜,重庆沙坪坝重庆师范大学对面,60,2.5,鸡杂,16,排队人气高、开了很多年,味道不够入味、汤水多、肉质新鲜度存疑、性价比一般
22,野山楂,贵州菜,重庆沙坪坝金沙天街,75,2.0,未知,6,喜欢酸口的顾客可能适合,"多次被批评""难吃""、""太拉""、四人聚餐一致差评"
